,name,max_value,min_value,mean_value,nrows,ncols
161,GSM86948.cel,46093.0,67.5,537.88,712.0,712.0
162,GSM86949.cel,46093.0,67.5,537.88,712.0,712.0
163,GSM86950.cel,46093.0,67.5,537.88,712.0,712.0
164,GSM86951.cel,46093.0,67.5,537.88,712.0,712.0
165,GSM86952.cel,46093.0,67.5,537.88,712.0,712.0
166,GSM86953.cel,46093.0,67.5,537.88,712.0,712.0
167,GSM86954.cel,46093.0,67.5,537.88,712.0,712.0
168,GSM86955.cel,46093.0,67.5,537.88,712.0,712.0
169,GSM86956.cel,46093.0,67.5,537.88,712.0,712.0
170,GSM86957.cel,46093.0,67.5,537.88,712.0,712.0
171,GSM86958.cel,46093.0,67.5,537.88,712.0,712.0
172,GSM86959.cel,46093.0,67.5,537.88,712.0,712.0
173,GSM86960.cel,46093.0,67.5,537.88,712.0,712.0
174,GSM86961.cel,46093.0,67.5,537.88,712.0,712.0
175,GSM86962.cel,46093.0,67.5,537.88,712.0,712.0
176,GSM86963.cel,46093.0,67.5,537.88,712.0,712.0
177,GSM86964.cel,46093.0,67.5,537.88,712.0,712.0
178,GSM86965.cel,46093.0,67.5,537.88,712.0,712.0
179,GSM86966.cel,46093.0,67.5,537.88,712.0,712.0
180,GSM86967.cel,46093.0,67.5,537.88,712.0,712.0
181,GSM86968.cel,46093.0,67.5,537.88,712.0,712.0
182,GSM86969.cel,46093.0,67.5,537.88,712.0,712.0
183,GSM86970.cel,46093.0,67.5,537.88,712.0,712.0
184,GSM86971.cel,46093.0,67.5,537.88,712.0,712.0
185,GSM86972.cel,46093.0,67.5,537.88,712.0,712.0
186,GSM86973.cel,46093.0,67.5,537.88,712.0,712.0
187,GSM86974.cel,46093.0,67.5,537.88,712.0,712.0
188,GSM86975.cel,46093.0,67.5,537.88,712.0,712.0
189,GSM86976.cel,46093.0,67.5,537.88,712.0,712.0
190,GSM86977.cel,46093.0,67.5,537.88,712.0,712.0
191,GSM86978.cel,46093.0,67.5,537.88,712.0,712.0
192,GSM86979.cel,46093.0,67.5,537.88,712.0,712.0
193,GSM86980.cel,46093.0,67.5,537.88,712.0,712.0
194,GSM86981.cel,46093.0,67.5,537.88,712.0,712.0
195,GSM86982.cel,46093.0,67.5,537.88,712.0,712.0
196,GSM86983.cel,46093.0,67.5,537.88,712.0,712.0
197,GSM86984.cel,46093.0,67.5,537.88,712.0,712.0
198,GSM86985.cel,46093.0,67.5,537.88,712.0,712.0
199,GSM86986.cel,46093.0,67.5,537.88,712.0,712.0
200,GSM86987.cel,46093.0,67.5,537.88,712.0,712.0
201,GSM86988.cel,46093.0,67.5,537.88,712.0,712.0
202,GSM86989.cel,46093.0,67.5,537.88,712.0,712.0
203,GSM86990.cel,46093.0,67.5,537.88,712.0,712.0
204,GSM86991.cel,46093.0,67.5,537.88,712.0,712.0
205,GSM86992.cel,46093.0,67.5,537.88,712.0,712.0
206,GSM86993.cel,46093.0,67.5,537.88,712.0,712.0
207,GSM86994.cel,46093.0,67.5,537.88,712.0,712.0
208,GSM86995.cel,46093.0,67.5,537.88,712.0,712.0
209,GSM86996.cel,46093.0,67.5,537.88,712.0,712.0
210,GSM86997.cel,46093.0,67.5,537.88,712.0,712.0
211,GSM86998.cel,46093.0,67.5,537.88,712.0,712.0
212,GSM86999.cel,46093.0,67.5,537.88,712.0,712.0
213,GSM87000.cel,46093.0,67.5,537.88,712.0,712.0
214,GSM87001.cel,46093.0,67.5,537.88,712.0,712.0
215,GSM87002.cel,46093.0,67.5,537.88,712.0,712.0
216,GSM87003.cel,46093.0,67.5,537.88,712.0,712.0
217,GSM87004.cel,46093.0,67.5,537.88,712.0,712.0
218,GSM87005.cel,46093.0,67.5,537.88,712.0,712.0
219,GSM87006.cel,46093.0,67.5,537.88,712.0,712.0
220,GSM87007.cel,46093.0,67.5,537.88,712.0,712.0
221,GSM87008.cel,46093.0,67.5,537.88,712.0,712.0
222,GSM87009.cel,46093.0,67.5,537.88,712.0,712.0
223,GSM87010.cel,46093.0,67.5,537.88,712.0,712.0
224,GSM87011.cel,46093.0,67.5,537.88,712.0,712.0
225,GSM87012.cel,46093.0,67.5,537.88,712.0,712.0
226,GSM87013.cel,46093.0,67.5,537.88,712.0,712.0
227,GSM87014.cel,46093.0,67.5,537.88,712.0,712.0
228,GSM87015.cel,46093.0,67.5,537.88,712.0,712.0
229,GSM87016.cel,46093.0,67.5,537.88,712.0,712.0
230,GSM87017.cel,46093.0,67.5,537.88,712.0,712.0
231,GSM87018.cel,46093.0,67.5,537.88,712.0,712.0
232,GSM87019.cel,46093.0,67.5,537.88,712.0,712.0
233,GSM87020.cel,46093.0,67.5,537.88,712.0,712.0
234,GSM87021.cel,46093.0,67.5,537.88,712.0,712.0
235,GSM87022.cel,46093.0,67.5,537.88,712.0,712.0
236,GSM87023.cel,46093.0,67.5,537.88,712.0,712.0
237,GSM87024.cel,46093.0,67.5,537.88,712.0,712.0
238,GSM87025.cel,46093.0,67.5,537.88,712.0,712.0
239,GSM87026.cel,46093.0,67.5,537.88,712.0,712.0
240,GSM87027.cel,46093.0,67.5,537.88,712.0,712.0
241,GSM87028.cel,46093.0,67.5,537.88,712.0,712.0
242,GSM87029.cel,46093.0,67.5,537.88,712.0,712.0
243,GSM87030.cel,46093.0,67.5,537.88,712.0,712.0
244,GSM87031.cel,46093.0,67.5,537.88,712.0,712.0
245,GSM87032.cel,46093.0,67.5,537.88,712.0,712.0
246,GSM87033.cel,46093.0,67.5,537.88,712.0,712.0
247,GSM87034.cel,46093.0,67.5,537.88,712.0,712.0
248,GSM87035.cel,46093.0,67.5,537.88,712.0,712.0
249,GSM87036.cel,46093.0,67.5,537.88,712.0,712.0
250,GSM87037.cel,46093.0,67.5,537.88,712.0,712.0
251,GSM87038.cel,46093.0,67.5,537.88,712.0,712.0
252,GSM87039.cel,46093.0,67.5,537.88,712.0,712.0
253,GSM87040.cel,46093.0,67.5,537.88,712.0,712.0
254,GSM87041.cel,46093.0,67.5,537.88,712.0,712.0
255,GSM87042.cel,46093.0,67.5,537.88,712.0,712.0
256,GSM87043.cel,46093.0,67.5,537.88,712.0,712.0
257,GSM87044.cel,46093.0,67.5,537.88,712.0,712.0
258,GSM87045.cel,46093.0,67.5,537.88,712.0,712.0
259,GSM87046.cel,46093.0,67.5,537.88,712.0,712.0
260,GSM87047.cel,46093.0,67.5,537.88,712.0,712.0
261,GSM87048.cel,46093.0,67.5,537.88,712.0,712.0
262,GSM87049.cel,46093.0,67.5,537.88,712.0,712.0
263,GSM87050.cel,46093.0,67.5,537.88,712.0,712.0
264,GSM87051.CEL,46093.0,67.5,537.88,712.0,712.0
265,GSM87052.cel,46093.0,67.5,537.88,712.0,712.0
266,GSM87053.cel,46093.0,67.5,537.88,712.0,712.0
267,GSM87054.cel,46093.0,67.5,537.88,712.0,712.0
268,GSM87055.cel,46093.0,67.5,537.88,712.0,712.0
269,GSM87056.cel,46093.0,67.5,537.88,712.0,712.0
270,GSM87057.cel,46093.0,67.5,537.88,712.0,712.0
271,GSM87058.cel,46093.0,67.5,537.88,712.0,712.0
